description,bathrooms,construction_status,built_up_area,bedrooms,furnishing,carpet_area,price,location
"Gated Society, 1 BHK   For ₹ 24.5 Lacs Onward Only",1,Under Construction,624,1,Unfurnished,424,2451285,"Pimple Gurav, Pune, Maharashtra"
3 BHK Ready to Move Flat With Lift Available in Gated Society,3,Ready to Move,1300,3,Semi-Furnished,1200,3800000,"Sector 20, Panchkula, Haryana"
2 bhk flat for sale at uttarpara. Size 747 sqft. G.T. Road 7 mins.,2,Ready to Move,747,2,Unfurnished,625,2091600,"uttarpara, Hooghly, West Bengal"
"At GLS, we make nurturing ecosystems for you to create a lifeme of happy memories and experiences. We embarked on our journey nearby a decade ago and have built over 3 million sq.. of area in Gurugram & NCR since. Leveraging the best of design and a deep understanding of life style trends, we have dedicated our efforts to build living soluons which are low cost, and offer abundant amenies, leeway and comfort. Happiness is built into every square feet of your GLS home",2,Under Construction,900,2,Semi-Furnished,600,2250000,"Sector 92, Gurgaon, Haryana"
2 bhk apartment in kengeri close to hoysala circle the apartments are coming up right on the main road in the fully developed neighborhood,2,Under Construction,1000,2,Unfurnished,900,3700000,"Kengeri, Bengaluru, Karnataka"
2BHK 1100 sqft   flat for sale at kadamtala on Jems Long Sarani,2,Ready to Move,1100,2,Unfurnished,1000,3850000,"Silpara, Kolkata, West Bengal"
This is Good Society Close To Cinemax Mall,3,Ready to Move,1500,3,Unfurnished,1000,12600000,"Mira Road East, Mumbai, Maharashtra"
*Delivering not just homes but values*. Presenting *910 sqft* Fine crafted *2bhk* flat with all basic facilities .,2,Ready to Move,910,2,Semi-Furnished,800,2395000,"Greater Noida West, Greater Noida, Uttar Pradesh"
"DS Max Sky Supreme Bangalore is a modern residential property developed by DS Max Properties Pvt. Ltd. at Kengeri in Bangalore. It offers 2 and 3 BHK apartments with size varying from 920sq. ft to 1400 sq. ft. The township is located near BMTC Bus Stop and very close to Ring Road. It is located centrally providing convenient access to anywhere in Bangalore. All the major destinations like airport, schools, colleges, offices, entertainment and shopping malls are just minutes away from its periphery. It lies at a distance of 4 km from Rajarajeshwari Nagar. The community has well developed amenities and facilities. The amenities within the complex includes Car Parking, Swimming Pool, Party Hall, Club House, Rain Water Harvesting, Gymnasium, Sewage Treatment Plant, Security, Lift Facility, Power Backup, Water Facility, Provision for TV & Telephone Connection and many others. DS Max Properties launched the Supreme in Bangalore. The company aims to recognize the most elite and appropriate property in South India. They utilize their creativity, experience and technical expertise integrated in an environment friendly manner in order to provide the most extensive variety of high quality properties. They provide homes at affordable prices without compromising with the quality.",2,Under Construction,1400,3,Unfurnished,1350,5320000,"Kengeri, Bengaluru, Karnataka"
"DS – MAX Sonata aims for sophistication and quality. The location is near Jallahalli Circle, it is very close to Sapthagiri Eng. College and very close to Ring Road. The location provides convenient access to anywhere in Bangalore. Airport, Schools, Colleges, Offices, Entertainment and Shopping Malls are just minutes away. We offer Luxurious 2 & 3 BHK flats to meet your lifestyle needs.",2,Under Construction,1017,2,Unfurnished,1000,3356000,"Jalahalli, Bengaluru, Karnataka"
DS-MAX Synergy is located off Thanisandra main road (near Manipal academy of banking). The neighborhood is surrounded by IT firms and premier educational institutes. As a result of close proximity to Manyata Tech Park you can expect high rental income and appreciation value for the property.,2,Under Construction,1079,2,Unfurnished,1000,4100000,"Thanisandra Main Road, Bengaluru, Karnataka"
"Ahuja Hive O2 is a residential development launched by Ahuja Constructions. This project provides a vast range of amenities including Landscaped Garden, Power Backup, Cycling & Jogging Track, Gymnasium and Swimming Pool. Prominent suburbs of Mumbai are close by and with several schools, hospitals, banks and offices situated in the proximity, the project is a preferred choice for home seekers.",3,Under Construction,1024,3,Semi-Furnished,1024,29500000,"Chunabhatti, Mumbai, Maharashtra"
O2 is conveniently built in Sion which provides unmatched connectivity from all the important city landmarks and utilities,2,Under Construction,824,3,Semi-Furnished,824,24000000,"Chunabhatti, Mumbai, Maharashtra"
"About Project:. Unique Estate is an ultimate reflection of the urban chic lifestyle located in Mira Road, Mumbai. The project hosts in its lap exclusively designed Residential Apartments, each being an epitome of elegance and simplicity.",2,Under Construction,1100,1,Unfurnished,1100,9000000,"Mira Road East, Mumbai, Maharashtra"
"The elegant 1 BHK Flats in Mira Road at UNIQUE ESTATE is another gem of a residential project where one enjoys the ultimate happiness and experiences the euphoria of a modern day living. Buy 2 BHK Flat in Mira Road East that are perched on a podium and blended with all the majestic lifestyle amenities you can dream of in a neighborhood, UNIQUE ESTATE offers an enriching living experience like never before.",2,Under Construction,1040,2,Unfurnished,1040,8500000,"Mira Road East, Mumbai, Maharashtra"
"Bank loan approved from AXIS Bank and LIC Housing Finance Ltd. It is a ready to move project with possession offered in Jun, 2020. The project is spread over a total area of 2.83 acres of land. Unique Estate has a total of 5 towers. The construction is of 13 floors. An accommodation of 233 units has been provided.",2,Under Construction,740,1,Unfurnished,520,6000000,"Mira Road East, Mumbai, Maharashtra"
1300sq3bhk5cent,3,Ready to Move,1300,3,Furnished,100,3300000,"Thachottukavu, Thiruvananthapuram, Kerala"
3bhk fully furnished flat,2,Ready to Move,1200,3,Furnished,1100,2921000,"Mansarovar Extension, Jaipur, Rajasthan"
1BHK &2BHK Flat,1,Ready to Move,550,1,Semi-Furnished,480,1225009,"Noida Extension, Noida, Uttar Pradesh"
2 bhk apartments in the prime vicinity the apartments are done with all amenities the apartments are vastu compliant and done with east facing door,2,Under Construction,1184,2,Unfurnished,1000,4500000,"Thanisandra Main Road, Bengaluru, Karnataka"
"DS-MAX Sparkle Nest is located at K Narayanapura (near Kristu Jayanti College). The neighborhood is surrounded by IT firms and premier educational institutes. Every living space at DS-MAX Sparkle-Nest reflects the architectural proficiency like natural ventilation, space, structure, technical features and attention to details. Designed for the discerning global citizen, the project is designed to make you fall in love with your new quality of life.",3,Under Construction,1294,3,Unfurnished,1200,5176000,"Hennur Road, Bengaluru, Karnataka"
Full finished house all you have to do is to come and stay after (whole house is in approximately 700sqft front is 18.5ft) purchasing... location:- from bypass 500mtrs and from Chitaipur 2.5km its at upasana nagar side and from main chunar road house is located approximately 100mtrs away...,2,New Launch,18,2,Furnished,40,6000000,"Amara, Varanasi, Uttar Pradesh"
Indulge yourself in an unprecedented experience of luxury apartments in some of the most sought after destinations in Bangalore. We offer hand-picked amenities and hi-tech architecture at competitive prices to make your dream home a reality.,3,Under Construction,1298,3,Unfurnished,1200,5192000,"Hennur Road, Bengaluru, Karnataka"
"DS-MAX STARRY apartment is strategically located in Electronic City Phase-1, blossoming in the heart of finest spot in Bangalore. What lends it the special touch is its proximity to all the city's major hot-spots and business centers.",3,Under Construction,1300,3,Unfurnished,1150,4290000,"Electronic City Phase I, Bengaluru, Karnataka"
4cent1800sq3bhk,3,Ready to Move,1800,3,Furnished,100,5700000,"Thirumala, Thiruvananthapuram, Kerala"
1Bhk flat for sale in Kanjur marg east,1,Ready to Move,530,1,Unfurnished,375,8500000,"Kanjurmarg East, Mumbai, Maharashtra"
1Bhk flat for sale in Mulund west,1,Under Construction,480,1,Unfurnished,320,6800000,"Mulund West, Mumbai, Maharashtra"
1RK flat for sale in Badlapur west,1,Under Construction,375,1,Unfurnished,270,1550000,"Sonivali, Badlapur, Maharashtra"
2bhk spacious flat for sale in GHATKOPAR east,2,Under Construction,650,2,Unfurnished,400,12500000,"Ghatkopar East, Mumbai, Maharashtra"
"Bhairav residency is located by prime location.This is nearest to schools,colleges,hospitals,schools,malls,atms,dmart etc.This property is very nicely done by builders.This is very beautiful project to live a life.",3,Ready to Move,1340,3,Semi-Furnished,1074,12000000,"Mira Road, Mumbai, Maharashtra"
For Sale 2 BHK Apartments at Handewadi,2,Ready to Move,809,2,Unfurnished,1109,5013000,"Undri, Pune, Maharashtra"
"SK Imperial Heights in Mira Road East, S K Heights Builders is a residential project.",2,Dealer,642,2,Semi-Furnished,0,8100000,"Mira Road, Mumbai, Maharashtra"
"The major factor influencing the richness of the locality is that, it matches the modernization factor with enhanced connectivity to Kanakapura Road and NICE road (Bangalore-Mysore Highway). Moreover, new metro station has been proposed in its neighboring localities, which is an added advantage to the residents.",3,Under Construction,1700,3,Unfurnished,1650,6460000,"Uttarahalli, Bengaluru, Karnataka"
Boring road,3,Ready to Move,2300,3,Semi-Furnished,2000,17000000,"Rajapur, Patna, Bihar"
4cent1900sq4bhk,4,Ready to Move,1900,4,Furnished,100,6000000,"Peyad, Thiruvananthapuram, Kerala"
4cent1800sq3bhk,3,Ready to Move,1800,3,Furnished,100,5200000,"Thirumala, Thiruvananthapuram, Kerala"
C/101' SULTANA PALACE,1,Ready to Move,385,1,Unfurnished,385,1110000,"Mumbra, Thane, Maharashtra"
3 bhk apartments in the premium luxury tower overlooking the yelahanka dairy circle the apartments are done with vitrified tiles,3,New Launch,1400,3,Unfurnished,1350,7000000,"Yelahanka, Bengaluru, Karnataka"
"SK Heights brings a residential project Imperial Heights which is located in Mira Road East, Mumbai. SK Heights aims to develop longterm relations with their customers by delivering projects with worldclass infrastructure at affordable prices. This township offers 361 units of luxurious 1, 2 and 3 BHK apartments with sizes ranging between 637 and 1204 sq. ft. The apartments are loaded with amenities like childrens play area, clubhouse, 24x7 security, power backup, landscaped gardens, WiFi connectivity, CCTV cameras, automatic elevators, antitermite treatment, firefighting system.",2,Ready to Move,662,1,Semi-Furnished,550,5800000,"Mira Road, Mumbai, Maharashtra"
అంజన్ బ్రీజీ మెడోస్ .. నిర్మాణంలో మార్గదర్శకుడు మరియు చక్కగా నిర్వహించబడుతున్న ప్రాజెక్ట్. 30% చెల్లించండి. ఆక్యుపెన్సీ వరకు EMI లేదు.,2,Under Construction,1475,3,Semi-Furnished,1200,4500000,"Sri Nagar Colony, Khammam, Telangana"
THIS PRICE IS INCLUSIVE OF ALL INCLUDING PARKING.,2,Under Construction,725,1,Semi-Furnished,450,6700000,"Mira Road East, Mumbai, Maharashtra"
1bhk DDA flat furnished with 2 room kitchen vathroom balcony washroom for sale in lok nayak puram bakerwala peeragadi najafgrah toad. its very well maintained freehold registered property . its named as glourious apptts... very peaceful society with all facalities. metro is just 1 km from society. ditect deal with owner its has reserved car parking. electricty and drinking water .,1,Ready to Move,600,1,Semi-Furnished,540,1800000,"Bakarwala, Delhi, Delhi"
Greetings for the day and thanks for your valuable enquiry with us!,3,Ready to Move,1300,3,Unfurnished,1125,4925000,"Race Course, Coimbatore, Tamil Nadu"
Shop with house 24/7 light n water school hospital market near to house camp,1,Ready to Move,650,1,Unfurnished,650,680000000,"Bhawani Peth, Pune, Maharashtra"
